static_text,log_level,preprocessed_text
Error creating table ,error,error creat tabl
Tables does not exist,info,tabl exist
Schema and tables has been created,info,schema tabl creat
Can't create tables,error,ca creat tabl
Tables already exist,info,tabl alreadi exist
Can't verify tables existence,error,ca verifi tabl exist
Can't retreive the bookings,error,ca retreiv book
Error getting connection ,error,error get connect
Can't find booking with id *,error,ca find book id
Error getting connection ,error,error get connect
Can't insert booking with customer *,error,ca insert book custom
Error getting connection ,error,error get connect
Can't delete service with id *,error,ca delet servic id
Error getting connection ,error,error get connect
Using repositories:,info,use repositori
   ,info,
Creating work directory: ,info,creat work directori
Loading direct KAR and features XML dependencies,info,load direct kar featur xml depend
   Standard startup Karaf KAR found: ,info,standard startup karaf kar found
   Custom startup KAR found: ,info,custom startup kar found
   Standard startup KAR implied from framework ( | ): ,info,standard startup kar impli framework
   Feature  |  will be added as a startup feature,info,featur ad startup featur
Artifact was not resolved,error,artifact resolv
Artifact was not found,error,artifact found
$$$Empty Message$$$,error,empti messag
Using Karaf container located ,info,use karaf contain locat
Extracting Karaf container,info,extract karaf contain
Starting Karaf container,info,start karaf contain
Artifact was not resolved,error,artifact resolv
Artifact was not found,error,artifact found
$$$Empty Message$$$,error,empti messag
Creating Dockerfile,info,creat dockerfil
Using repositories: ,info,use repositori
Verification of feature  |  skipped,info,verif featur skip
Verification of feature  |  succeeded,info,verif featur succeed
Verification of feature  |  succeeded,info,verif featur succeed
"Features verified:  | , failures:  | , ignored:  | , skipped: ",info,featur verifi failur ignor skip
"Failures:  | , ",info,failur
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,error,empti messag
Creating Docker image,info,creat docker imag
Docker PID  |  running,info,docker pid run
Docker image  |  created,info,docker imag creat
Client execution is skipped,info,client execut skip
$$$Empty Message$$$,info,empti messag
Error starting ssh agent for: ,error,error start ssh agent
retrying (attempt  | ) ...,info,retri attempt
Error starting ssh agent for: ,error,error start ssh agent
retrying (attempt  | ) ...,info,retri attempt
Found command:  | :,info,found command
Copying artifact: ,info,copi artifact
Generation not enabled,info,gener enabl
Attaching artifact,info,attach artifact
Attaching features XML,info,attach featur xml
$$$Empty Message$$$,error,empti messag
Generating feature descriptor file ,info,gener featur descriptor file
...done!,info,done
$$$Empty Message$$$,info,empti messag
Using local repository at: ,info,use local repositori
Ignoring ,info,ignor
Activator ,info,activ
Service ,info,servic
Error creating layout:  | . Using a simple layout.,error,error creat layout use simpl layout
Error retrieving maven configuration,error,error retriev maven configur
Error retrieving maven configuration,error,error retriev maven configur
Error watching bundle.,error,error watch bundl
Error updating bundle.,error,error updat bundl
"[Watch] Bundle * is a fragment, so it's not started",info,watch bundl fragment start
[Watch] Updating watched bundle: * (*),info,watch updat watch bundl
"[Watch] Bundle * is a fragment, so it's not stopped",info,watch bundl fragment stop
Could not parse artifact path for bundle,error,could pars artifact path bundl
$$$Empty Message$$$,error,empti messag
Error opening blueprint xml url,error,error open blueprint xml url
Unable to parse deployed file ,error,unabl pars deploy file
Unable to build blueprint application bundle,error,unabl build blueprint applic bundl
unknown features uri,error,unknown featur uri
Unable to parse deployed file ,error,unabl pars deploy file
Unable to build feature bundle,error,unabl build featur bundl
Unable to update deployed features for bundle:  |  - ,error,unabl updat deploy featur bundl
Error opening features xml url,error,error open featur xml url
Deployment finished. Registering FeatureDeploymentListener,info,deploy finish regist featuredeploymentlisten
$$$Empty Message$$$,error,empti messag
KAR * is already installed. Please uninstall it first.,info,kar alreadi instal pleas uninstal first
Installing KAR file *,info,instal kar file
Uninstalling KAR *,info,uninstal kar
Found a .kar file to deploy.,info,found file deploy
Found a Karaf archive with .zip prefix; will deploy.,info,found karaf archiv prefix deploy
Unable to parse deployed file ,error,unabl pars deploy file
Unable to build spring application bundle,error,unabl build spring applic bundl
Error opening Spring xml url,error,error open spring xml url
Created dump ,info,creat dump
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,info,empti messag
$$$Empty Message$$$,info,empti messag
Skipping configuration * - file already exists,info,skip configur file alreadi exist
Substitution failed. Skip substitution of variables of configuration final name (*).,info,substitut fail skip substitut variabl configur final name
"Configuration file * already exist, overriding it",info,configur file alreadi exist overrid
Creating configuration file *,info,creat configur file
$$$Empty Message$$$,error,empti messag
Error installing boot features,error,error instal boot featur
Error installing boot feature repository ,error,error instal boot featur repositori
Error notifying listener about the current state,error,error notifi listen current state
The specified feature: '*' version '*' *,info,specifi featur version
$$$Empty Message$$$,info,empti messag
Can't load proxies,error,ca load proxi
Can't add * proxy to *,error,ca add proxi
unable to update http proxy from configuration,error,unabl updat http proxi configur
