static_text,log_level,preprocessed_text
Invalid value for number of samples to take:  | . Skipping sampling.,warn,invalid valu number sampl take skip sampl
Could not determine statistics for files ' | '  | due to an io error: ,warn,could determin statist file due io error
"Overwriting an existing decompression algorithm for ""*"" files.",warn,overwrit exist decompress algorithm file
Could not determine statistics for paths ' | ' due to an io error: ,warn,could determin statist path due io error
Minimal split size of  |  is larger than the block size of  | . Decreasing minimal split size to block size.,warn,minim split size larger block size decreas minim split size block size
Assigning split to null host (random assignment).,info,assign split null host random assign
Assigning local split to host ,info,assign local split host
Assigning remote split to host ,info,assign remot split host
"With the given block size %d, the files %s cannot be split into %d blocks. Filling up with empty splits...",warn,given block size file split block fill empti split
Could not determine complete statistics for files '%s' due to an I/O error,warn,could determin complet statist file due error
Termination criterion stats in iteration [ | ]: ,info,termin criterion stat iter
Could not read a requested serializer. Replaced with a UnloadableDummyTypeSerializer.,warn,could read request serial replac unloadabledummytypeseri
 does not contain a getter for field ,info,contain getter field
 does not contain a setter for field ,info,contain setter field
Class  |  is not public so it cannot be used as a POJO type  | and must be processed as GenericType. Please read the Flink documentation  | on \,info,class public use pojo type must process generictyp pleas read flink document
No fields were detected for  |  so it cannot be used as a POJO type  | and must be processed as GenericType. Please read the Flink documentation  | on \,info,field detect use pojo type must process generictyp pleas read flink document
"Class  |  cannot be used as a POJO type because not all fields are valid POJO fields,  | and must be processed as GenericType. Please read the Flink documentation  | on \",info,class use pojo type field valid pojo field must process generictyp pleas read flink document
"Class  |  contains custom serialization methods we do not call, so it cannot be used as a POJO type  | and must be processed as GenericType. Please read the Flink documentation  | on \",info,class contain custom serial method call use pojo type must process generictyp pleas read flink document
" is abstract or an interface, having a concrete  | type can increase performance.",info,abstract interfac concret type increas perform
 is missing a default constructor so it cannot be used as a POJO type  | and must be processed as GenericType. Please read the Flink documentation  | on \,info,miss default constructor use pojo type must process generictyp pleas read flink document
The default constructor of  |  is not Public so it cannot be used as a POJO type  | and must be processed as GenericType. Please read the Flink documentation  | on \,info,default constructor public use pojo type must process generictyp pleas read flink document
"Cannot extract type of Row field, because of Row field[ | ] is null.  | Should define RowTypeInfo explicitly.",warn,extract type row field row field null defin rowtypeinfo explicitli
Cannot find registered class  |  for Kryo serialization in classpath; |  using a dummy class as a placeholder.,warn,find regist class kryo serial classpath use dummi class placehold
Cannot find registered Kryo serializer class for class  |  in classpath; using a dummy Kryo serializer that should be replaced as soon as |  a new Kryo serializer for the class is present,warn,find regist kryo serial class class classpath use dummi kryo serial replac soon new kryo serial class present
Cannot find registered Kryo serializer class for class  |  in classpath; using a dummy Kryo serializer that should be replaced as soon as |  a new Kryo serializer for the class is present,warn,find regist kryo serial class class classpath use dummi kryo serial replac soon new kryo serial class present
The registered Kryo serializer class for class  |  has changed and is no longer valid; using a dummy Kryo serializer that should be replaced |  as soon as a new Kryo serializer for the class is present.,warn,regist kryo serial class class chang longer valid use dummi kryo serial replac soon new kryo serial class present
$$$Empty Message$$$,warn,empti messag
$$$Empty Message$$$,info,empti messag
Cannot find registered class  |  for Kryo serialization in classpath; |  using a dummy class as a placeholder.,warn,find regist class kryo serial classpath use dummi class placehold
Cannot find registered Kryo serializer class for class  |  in classpath; using a dummy Kryo serializer that should be replaced as soon as |  a new Kryo serializer for the class is present,warn,find regist kryo serial class class classpath use dummi kryo serial replac soon new kryo serial class present
Cannot find registered Kryo serializer class for class  |  in classpath; using a dummy Kryo serializer that should be replaced as soon as |  a new Kryo serializer for the class is present,warn,find regist kryo serial class class classpath use dummi kryo serial replac soon new kryo serial class present
The registered Kryo serializer class for class  |  has changed and is no longer valid; using a dummy Kryo serializer that should be replaced |  as soon as a new Kryo serializer for the class is present.,warn,regist kryo serial class class chang longer valid use dummi kryo serial replac soon new kryo serial class present
Cannot find registered class  |  for Kryo serialization in classpath.,warn,find regist class kryo serial classpath
Cannot deserialize a previously serialized kryo serializer for the type ,warn,deseri previous serial kryo serial type
Falling back to default Kryo serializer because Chill serializer couldn't be found.,warn,fall back default kryo serial chill serial could found
Configuration cannot evaluate value  |  as a class name,warn,configur evalu valu class name
Configuration cannot evaluate value * as a byte[] value,warn,configur evalu valu byte valu
Config uses deprecated configuration key '*' instead of proper key '*',warn,config use deprec configur key instead proper key
Config uses fallback configuration key '*' instead of key '*',info,config use fallback configur key instead key
Configuration value * overflows/underflows the integer type.,warn,configur valu integ type
Configuration cannot evaluate value * as an integer number,warn,configur evalu valu integ number
Configuration cannot evaluate value  |  as a long integer number,warn,configur evalu valu long integ number
Configuration value * overflows/underflows the float type.,warn,configur valu float type
Configuration cannot evaluate value * as a float value,warn,configur evalu valu float valu
Configuration cannot evaluate value * as a double value,warn,configur evalu valu doubl valu
