static_text,log_level,preprocessed_text
The table  |  not found ,error,tabl found
Exception while creating connection to HBase.,error,except creat connect hbase
The table  |  not found ,error,tabl found
Exception while creating connection to HBase.,error,except creat connect hbase
Can not connect to HBase without * configurationhbase.zookeeper.quorum,error,connect hbase without
Exception occurs while closing HBase BufferedMutator.,warn,except occur close hbase bufferedmut
Exception occurs while closing HBase Connection.,warn,except occur close hbase connect
"In the ExecutionConfig, both Avro and Kryo are enforced. Using Kryo serializer",warn,executionconfig avro kryo enforc use kryo serial
GroupCombineFunction cannot be used as combiner for GroupReduceFunction. Generic types are incompatible.,warn,groupcombinefunct use combin groupreducefunct gener type incompat
Cannot check generic types of GroupReduceFunction. Enabling combiner but combine function might fail at runtime.,warn,check gener type groupreducefunct enabl combin combin function might fail runtim
Cannot check generic types of GroupCombineFunction. Enabling combiner but combine function might fail at runtime.,warn,check gener type groupcombinefunct enabl combin combin function might fail runtim
JDBC connection could not be closed: ,warn,jdbc connect could close
"JDBC executeBatch error, retry times = *",error,jdbc executebatch error retri time
Close JDBC writer failed.,warn,close jdbc writer fail
"JDBC executeBatch error, retry times = %d",error,jdbc executebatch error retri time
Column SQL types array doesn't match arity of passed Row! Check the passed array...,warn,column sql type array match ariti pass row check pass array
Unknown column type for column *. Best effort approach to set its value: *.,warn,unknown column type column best effort approach set valu
Unmanaged sql type (*) for column *. Best effort approach to set its value: *.,warn,unmanag sql type column best effort approach set valu
Unmanaged sql type (*) for column *. Best effort approach to get its value: *.,warn,unmanag sql type column best effort approach get valu
Could not parse the command-line options.,error,could pars option
Failed to load the TaskManager configuration and dynamic properties.,error,fail load taskmanag configur dynam properti
Error while starting the TaskManager,error,error start taskmanag
Could not parse the command-line options.,error,could pars option
Unrecognized worker *.,warn,unrecogn worker
unrecognized message: ,error,unrecogn messag
Cannot access local server port,error,access local server port
unable to stat file,error,unabl stat file
Caught exception,error,caught except
Cannot add unknown metric type *. This indicates that the reporter does not support this metric type.,warn,add unknown metric type indic report support metric type
Cannot remove unknown metric type *. This indicates that the reporter does not support this metric type.,warn,remov unknown metric type indic report support metric type
Cannot add * because Datadog HTTP API doesn't support Histogram,warn,add datadog http api support histogram
Cannot add unknown metric type *. This indicates that the reporter does not support this metric type.,warn,add unknown metric type indic report support metric type
Cannot remove unknown metric type *. This indicates that the reporter does not support this metric type.,warn,remov unknown metric type indic report support metric type
Failed reporting metrics to Datadog because of socket timeout.,warn,fail report metric datadog socket timeout
Failed reporting metrics to Datadog.,warn,fail report metric datadog
Failed sending request to Datadog,warn,fail send request datadog
Failed to send request to Datadog (response was *),warn,fail send request datadog respons
Cannot add metric of type *. This indicates that the reporter does not support this metric type.,warn,add metric type indic report support metric type
"Invalid protocol configuration:  |  Expected: TCP or UDP, defaulting to TCP.",warn,invalid protocol configur expect tcp udp default tcp
Cannot add unknown metric type *. This indicates that the reporter does not support this metric type.,warn,add unknown metric type indic report support metric type
Cannot remove unknown metric type *. This indicates that the reporter does not support this metric type.,warn,remov unknown metric type indic report support metric type
Failed to stop JMX server.,error,fail stop jmx server
Cannot add unknown metric type: *. This indicates that the metric type is not supported by this reporter.,error,add unknown metric type indic metric type support report
A metric with the name  |  was already registered.,warn,metric name alreadi regist
Failed to register metric,warn,fail regist metric
Un-registering metric failed,error,metric fail
There was a problem registering metric *.,warn,problem regist metric
Cannot create collector for unknown metric type: *. This indicates that the metric type is not supported by this reporter.,warn,creat collector unknown metric type indic metric type support report
Cannot add unknown metric type: *. This indicates that the metric type is not supported by this reporter.,warn,add unknown metric type indic metric type support report
Cannot remove unknown metric type: *. This indicates that the metric type is not supported by this reporter.,warn,remov unknown metric type indic metric type support report
There was a problem unregistering metric *.,warn,problem unregist metric
"Invalid prometheusPushGateway groupingKey:*, will be ignored",warn,invalid prometheuspushgateway groupingkey ignor
"Invalid groupingKey {labelKey:*, labelValue:*} must not be empty",warn,invalid groupingkey labelkey labelvalu must empti
"Failed to push metrics to PushGateway with jobName *, groupingKey *.",warn,fail push metric pushgateway jobnam groupingkey
"Failed to delete metrics from PushGateway with jobName *, groupingKey *.",warn,fail delet metric pushgateway jobnam groupingkey
unable to send packet to statsd at '*:*',error,unabl send packet statsd
"Failed to extract param info *, ignore it",warn,fail extract param info ignor
Config value * for option * is invalid. Ignoring and using a value of *.,warn,config valu option invalid ignor use valu
